Name,M2,M2_err_low,M2_err_high,R2,R2_err_low,R2_err_high,Period,ecc,ecc_err_low,ecc_err_high,table_ecc,special_ecc,M1,M1_err_low,M1_err_high,R1,R1_err_low,R1_err_high,Teff,Teff_err_low,Teff_err_high,FeH,FeH_err_low,FeH_err_high,FeH_table,logg,logg_err_low,logg_err_high,vsini,vsini_err_low,vsini_err_high,Prot notes,age,age_err_low,age_err_high,age_notes,Notes,,Refnum,Refnum_sub1,Ref,Reflink,Reflink2
Units,Mjup,Mjup,Mjup,Rjup,Rjup,Rjup,days,,,,,,Msun,Msun,Msun,Rsun,Rsun,Rsun,K,change for Bds,,,,,,,,,km/s,km/s,km/s,,Gyr,Gyr,Gyr,,,,,,,,
HATS-70b,12.9,1.6,1.8,1.384,0.074,0.079,1.8882378,0,0,0.18,<0.18,<0.18,1.78,0.12,0.12,1.881,0.066,0.059,7930,820,630,0.041,0.107,0.095,,4.167,0.036,0.044,40.61,0.35,0.32,,0.81,0.33,0.5,stellar modeling of hot star,use rotational model,,(1),(1),Zhou2019,https://ui.adsabs.harvard.edu/abs/2019AJ....157...31Z/abstract,
TOI-1278b,18.5,0.5,0.5,1.09,0.2,0.24,14.47567,0.013,0.004,0.004,,,0.54,0.02,0.02,0.57,0.01,0.01,3799,42,42,-0.01,0.28,0.28,,4.68,0.1,0.1,1.1,0.86,0.86,,4.5,3.1,3.1,not well constrained,,,(2),,Artigau2021,https://ui.adsabs.harvard.edu/abs/2021arXiv210604536A/abstract,
GPX-1b,19.7,1.6,1.6,1.47,0.1,0.1,1.744579,0,0,0,,fixed to 0,1.68,0.1,0.1,1.56,0.1,0.1,7000,200,200,0.35,0.1,0.1,,4.27,0.05,0.05,40,,,vsini ~ 40 km/,0.27,0.15,0.09,,,,(3),(2),Benni2020,https://ui.adsabs.harvard.edu/abs/2020arXiv200911899B/abstract,
Kepler-39b,20.1,1.2,1.3,1.24,0.1,0.09,21.08721,0.112,0.057,0.057,,,1.29,0.07,0.06,1.4,0.1,0.1,6350,100,100,0.1,0.14,0.14,,4.25,0.06,0.06,16,2.5,2.5,,2.1,0.9,0.8,Yonsei-Yale evolutionary tracks,use nonzero ecc values,,(4),(3),Bonomo2015,https://ui.adsabs.harvard.edu/abs/2015A%26A...575A..85B/abstract,
CoRoT-3b,21.66,1,1,1.01,0.07,0.07,4.2568,0,0,0,0 (fixed),fixed to 0,1.37,0.09,0.09,1.56,0.09,0.09,6740,140,140,-0.02,0.06,0.06,,4.25,0.07,0.07,17,1,1,,2.2,0.6,0.6,age 1.6-1.8 from STAREVOL models,[M/H] used not Fe/H!,,(5),(4),Deleuil2008,https://ui.adsabs.harvard.edu/abs/2008A%26A...491..889D/abstract,
KELT-1b,27.38,0.93,0.93,1.116,0.029,0.038,1.217513,0.01,0.007,0.01,,,1.335,0.063,0.063,1.471,0.035,0.045,6516,49,49,0.052,0.079,0.079,,4.228,0.021,0.014,56,2,2,,1.75,0.25,0.25,use the solar evolutionary models of Guentheret al. (1992) updated with input physics from van Saders &Pinsonneault (2012),use nonzero ecc values,,(6),(5),Siverd2012,https://ui.adsabs.harvard.edu/abs/2012ApJ...761..123S/abstract,
NLTT 41135b,33.7,2.6,2.8,1.13,0.17,0.27,2.889,0,0,0.02,<0.02,<0.02,0.188,0.022,0.026,0.21,0.014,0.016,3230,130,130,-0.25,0.25,0.25,,5.062,0.034,0.033,5,5,5,vsini guess,6,4,4,likely a few to 10 Gyr for old disk stars; likely older than a few Gyr,triple system; vsini just estimate for probable low rotation,,(7),(6),Irwin2010,https://ui.adsabs.harvard.edu/abs/2010ApJ...718.1353I/abstract,
WASP-128b,37.19,0.85,0.83,0.937,0.018,0.022,2.208524,0,0,0.007,<0.007,<0.007; fit actually 0.003 +0.003 -0.002 but use LS test to put upper limit of 0.007 cause likely 0,1.155,0.039,0.039,1.152,0.016,0.021,5950,50,50,0.01,0.12,0.12,,4.1,0.1,0.1,20,1.2,1.2,2.93 pm 0.18 consistent with lightcurve modulation,2.3,0.9,0.9,use BAGEMASS,,,(8),(7),Hodzic2018,https://ui.adsabs.harvard.edu/abs/2018MNRAS.481.5091H/abstract,
CWW 89Ab,39.21,1.1,0.91,0.941,0.019,0.019,5.2926,0.1891,0.0022,0.0021,,,1.101,0.045,0.039,1.029,0.016,0.016,5755,49,49,0.203,0.091,0.086,,4.455,0.02,0.018,5.6,0.5,0.5,8.48 pm 0.76,1.26,0.93,1.7,associated with the star cluster Ruprecht 147; 2.5 Gyr,use carcmichael values,,(9) (10),(8) (9),Nowak2017;Carmichael2019,https://ui.adsabs.harvard.edu/abs/2017AJ....153..131N/abstract,https://ui.adsabs.harvard.edu/abs/2019AJ....158...38C/abstract
